window,seed,arm,stratum,n,macro_f1,balanced_accuracy,accuracy
1,42,majority,has_news,291,0.10919540229885057,0.3333333333333333,0.1958762886597938
1,42,majority,no_news,309,0.11141060197663971,0.3333333333333333,0.20064724919093851
1,43,majority,has_news,291,0.10919540229885057,0.3333333333333333,0.1958762886597938
1,43,majority,no_news,309,0.11141060197663971,0.3333333333333333,0.20064724919093851
1,44,majority,has_news,291,0.10919540229885057,0.3333333333333333,0.1958762886597938
1,44,majority,no_news,309,0.11141060197663971,0.3333333333333333,0.20064724919093851
1,42,random,has_news,291,0.31367913089868565,0.31937370307489155,0.32646048109965636
1,42,random,no_news,309,0.3000801277125075,0.30849974398361496,0.313915857605178
1,43,random,has_news,291,0.3484941355951588,0.3595668420651262,0.36082474226804123
1,43,random,no_news,309,0.287622956122538,0.2897416203867817,0.3074433656957929
1,44,random,has_news,291,0.24051424917793204,0.25262194608002503,0.24742268041237114
1,44,random,no_news,309,0.2992402248005546,0.3133837488676198,0.3074433656957929
1,42,logreg_price,has_news,291,0.26610469048750063,0.3261448060783393,0.44673539518900346
1,42,logreg_price,no_news,309,0.31845922906668417,0.3658277206664304,0.511326860841424
1,43,logreg_price,has_news,291,0.26610469048750063,0.3261448060783393,0.44673539518900346
1,43,logreg_price,no_news,309,0.31845922906668417,0.3658277206664304,0.511326860841424
1,44,logreg_price,has_news,291,0.26610469048750063,0.3261448060783393,0.44673539518900346
1,44,logreg_price,no_news,309,0.31845922906668417,0.3658277206664304,0.511326860841424
1,42,logreg_price_sentiment,has_news,291,0.2783354735102338,0.3236322331796088,0.4261168384879725
1,42,logreg_price_sentiment,no_news,309,0.3391073483628157,0.3776832486509905,0.5145631067961165
1,43,logreg_price_sentiment,has_news,291,0.2783354735102338,0.3236322331796088,0.4261168384879725
1,43,logreg_price_sentiment,no_news,309,0.3391073483628157,0.3776832486509905,0.5145631067961165
1,44,logreg_price_sentiment,has_news,291,0.2783354735102338,0.3236322331796088,0.4261168384879725
1,44,logreg_price_sentiment,no_news,309,0.3391073483628157,0.3776832486509905,0.5145631067961165
1,42,lstm_price,has_news,291,0.31156046603201076,0.3378206440374558,0.422680412371134
1,42,lstm_price,no_news,309,0.3708179194912337,0.38655520107133007,0.4919093851132686
1,43,lstm_price,has_news,291,0.3039940917586061,0.35332153307083775,0.47079037800687284
1,43,lstm_price,no_news,309,0.33346213812889797,0.3746799795186892,0.517799352750809
1,44,lstm_price,has_news,291,0.32793542225097827,0.34630960838380553,0.4329896907216495
